Date,Open,High,Low,Close
2025-01-02,57.9,58.04,57.78,57.91
2025-01-03,58.05,58.2,58.05,58.2
2025-01-06,58.2,58.36,58.17,58.27
2025-01-07,58.15,58.185,58.02,58.185
2025-01-08,58.2,58.4,58.2,58.395
2025-01-09,58.45,58.62,58.333,58.5
2025-01-10,58.5,58.5,58.27,58.36
2025-01-13,58.525,58.7,58.5,58.7
2025-01-14,58.6,58.62,58.47,58.62
2025-01-15,58.65,58.7,58.575,58.575
2025-01-16,58.45,58.61,58.41,58.61
2025-01-17,58.55,58.67,58.48,58.64
2025-01-20,58.52,58.6,58.45,58.52
2025-01-21,58.333,58.5,58.33,58.49
2025-01-22,58.35,58.605,58.35,58.51
2025-01-23,58.54,58.7,58.54,58.692
2025-01-24,58.63,58.63,58.3,58.31
2025-01-27,58.35,58.46,58.27,58.435
2025-01-28,58.48,58.56,58.4,58.425
2025-01-30,58.43,58.43,58.28,58.28
2025-01-31,58.43,58.44,58.32,58.365
2025-02-03,58.44,58.72,58.44,58.66
2025-02-04,58.45,58.555,58.28,58.34
2025-02-05,58.05,58.135,57.98,58.095
2025-02-06,57.92,58.199,57.88,58.18
2025-02-07,58.05,58.09,57.95,58.03
2025-02-10,58.1,58.175,58.06,58.095
2025-02-11,58.165,58.25,58.12,58.19
2025-02-12,58.2,58.24,58.14,58.19
2025-02-13,58.25,58.34,58.02,58.06
2025-02-14,57.95,57.96,57.81,57.83
2025-02-17,57.777,58.05,57.777,58.03
2025-02-18,58.08,58.285,58.08,58.15
2025-02-19,58.2,58.2,58.07,58.088
2025-02-20,58.03,58.05,57.915,57.94
2025-02-21,57.9,57.96,57.86,57.94
2025-02-24,57.9,57.95,57.77,57.808
2025-02-25,57.9,57.95,57.87,57.93
2025-02-26,57.87,57.92,57.855,57.88
2025-02-27,57.87,57.92,57.85,57.91
2025-02-28,57.98,58.02,57.97,57.995
2025-03-03,57.98,57.98,57.888,57.9
2025-03-04,57.83,57.84,57.75,57.753
2025-03-05,57.6,57.61,57.315,57.345
2025-03-06,57.25,57.333,57.12,57.32
2025-03-07,57.3,57.44,57.09,57.206
2025-03-10,57.25,57.43,57.2,57.41
2025-03-11,57.45,57.5,57.2,57.225
2025-03-12,57.3,57.395,57.29,57.36
2025-03-13,57.39,57.41,57.25,57.36
2025-03-14,57.35,57.36,57.168,57.251
2025-03-17,57.2,57.31,57.175,57.3
2025-03-18,57.21,57.36,57.2,57.295
2025-03-19,57.25,57.32,57.17,57.3
2025-03-20,57.2,57.255,57.11,57.222
2025-03-21,57.2,57.38,57.2,57.33
2025-03-24,57.3,57.39,57.285,57.32
2025-03-25,57.31,57.61,57.3,57.6
2025-03-26,57.58,57.74,57.57,57.69
2025-03-27,57.68,57.68,57.37,57.37
2025-03-28,57.37,57.45,57.31,57.381
2025-03-31,57.35,57.35,57.21,57.21
2025-04-02,57.2,57.25,57.15,57.215
2025-04-03,57.25,57.275,57.06,57.095
2025-04-04,56.95,56.95,56.74,56.821
2025-04-07,57.1,57.45,57.0,57.43
2025-04-08,57.35,57.38,57.145,57.31
2025-04-10,57.18,57.355,57.14,57.35
2025-04-11,57.22,57.22,56.92,56.97
2025-04-14,56.93,57.1,56.9,57.08
2025-04-15,57.03,57.15,56.77,56.77
2025-04-16,56.8,56.8,56.5,56.8
2025-04-21,56.64,56.65,56.48,56.61
2025-04-22,56.65,56.77,56.6,56.68
2025-04-23,56.65,56.65,56.545,56.545
2025-04-24,56.5,56.64,56.43,56.555
2025-04-25,56.38,56.425,56.23,56.265
2025-04-28,56.28,56.47,56.24,56.42
2025-04-29,56.333,56.35,56.1,56.145
2025-04-30,56.005,56.06,55.833,55.84
2025-05-02,55.9,56.0,55.56,55.57
2025-05-05,55.57,55.799,55.38,55.77
2025-05-06,55.8,55.9,55.51,55.61
2025-05-07,55.4,55.48,55.215,55.396
2025-05-08,55.5,55.675,55.46,55.625
2025-05-09,55.7,55.82,55.395,55.51
2025-05-13,55.8,55.9,55.58,55.795
2025-05-14,55.75,55.95,55.63,55.855
2025-05-15,55.8,55.84,55.71,55.746
2025-05-16,55.67,55.685,55.51,55.635
2025-05-19,55.8,55.89,55.66,55.67
2025-05-20,55.73,55.73,55.57,55.63
2025-05-21,55.58,55.7,55.56,55.66
2025-05-22,55.65,55.7,55.585,55.585
2025-05-23,55.68,55.68,55.25,55.25
2025-05-26,55.25,55.45,55.143,55.42
2025-05-27,55.35,55.57,55.3,55.56
2025-05-28,55.55,55.64,55.475,55.475
2025-05-29,55.65,55.82,55.62,55.73
2025-05-30,55.6,55.82,55.52,55.745
2025-06-02,55.85,55.87,55.68,55.7
2025-06-03,55.62,55.745,55.6,55.721
2025-06-04,55.8,55.895,55.735,55.771
2025-06-05,55.635,55.7,55.56,55.62
2025-06-09,55.85,55.88,55.78,55.81
2025-06-10,55.75,55.84,55.7,55.83
2025-06-11,55.8,55.9,55.78,55.885
2025-06-13,55.8,56.235,55.75,56.21
2025-06-16,56.25,56.61,56.25,56.415
2025-06-17,56.45,56.7,56.45,56.7
2025-06-18,56.75,56.98,56.7,56.98
2025-06-19,57.1,57.45,57.1,57.45
2025-06-20,57.2,57.3,57.15,57.17
2025-06-23,57.25,57.655,57.25,57.58
2025-06-24,57.2,57.21,56.835,57.16
