Date,Open,High,Low,Close
2022-01-03,50.97,51.0,50.95,51.0
2022-01-04,51.1,51.3,51.1,51.3
2022-01-05,51.2,51.33,50.89,50.96
2022-01-06,51.03,51.23,50.99,51.18
2022-01-07,51.25,51.37,51.18,51.35
2022-01-10,51.38,51.45,51.27,51.31
2022-01-11,51.25,51.275,51.07,51.14
2022-01-12,51.0,51.26,50.94,51.19
2022-01-13,51.08,51.225,50.99,51.04
2022-01-14,51.14,51.15,50.98,51.11
2022-01-17,51.25,51.34,51.225,51.255
2022-01-18,51.2,51.488,51.2,51.488
2022-01-19,51.47,51.5,51.41,51.5
2022-01-20,51.45,51.485,51.34,51.34
2022-01-21,51.42,51.47,51.33,51.37
2022-01-24,51.3,51.35,51.25,51.29
2022-01-25,51.35,51.4,51.2,51.26
2022-01-26,51.25,51.305,51.18,51.29
2022-01-27,51.45,51.45,51.295,51.34
2022-01-28,51.34,51.35,51.21,51.23
2022-01-31,51.2,51.23,50.95,50.95
2022-02-02,51.05,51.18,50.99,51.045
2022-02-03,51.0,51.1,50.92,51.05
2022-02-04,51.0,51.14,50.95,51.14
2022-02-07,51.25,51.38,51.22,51.37
2022-02-08,51.4,51.5,51.38,51.5
2022-02-09,51.43,51.445,51.32,51.34
2022-02-10,51.3,51.32,51.21,51.235
2022-02-11,51.36,51.37,51.29,51.34
2022-02-14,51.38,51.405,51.32,51.37
2022-02-15,51.36,51.42,51.33,51.382
2022-02-16,51.319,51.34,51.27,51.285
2022-02-17,51.27,51.36,51.235,51.33
2022-02-18,51.34,51.36,51.28,51.35
2022-02-21,51.4,51.42,51.36,51.38
2022-02-22,51.4,51.48,51.4,51.45
2022-02-23,51.35,51.365,51.1,51.1
2022-02-24,51.18,51.44,51.17,51.34
2022-02-28,51.39,51.42,51.265,51.27
2022-03-01,51.24,51.295,51.21,51.23
2022-03-02,51.35,51.455,51.32,51.42
2022-03-03,51.43,51.5,51.42,51.5
2022-03-04,51.65,51.75,51.6,51.74
2022-03-07,51.9,52.19,51.85,52.18
2022-03-08,52.25,52.34,52.01,52.32
2022-03-09,52.28,52.31,52.15,52.23
2022-03-10,52.12,52.24,52.05,52.155
2022-03-11,52.25,52.34,52.21,52.29
2022-03-14,52.32,52.49,52.32,52.475
2022-03-15,52.495,52.495,52.33,52.415
2022-03-16,52.375,52.375,52.2,52.31
2022-03-17,52.18,52.22,52.1,52.14
2022-03-18,52.2,52.43,52.2,52.335
2022-03-21,52.31,52.4,52.31,52.35
2022-03-22,52.44,52.47,52.385,52.44
2022-03-23,52.42,52.42,52.33,52.39
2022-03-24,52.41,52.43,52.15,52.33
2022-03-25,52.305,52.305,52.12,52.15
2022-03-28,52.18,52.3,52.08,52.13
2022-03-29,52.07,52.13,51.99,52.075
