Date,Open,High,Low,Close
2026-01-02,58.85,58.9,58.8,58.841
2026-01-05,58.888,59.13,58.85,59.13
2026-01-06,59.07,59.21,59.07,59.21
2026-01-07,59.24,59.38,59.2,59.355
2026-01-08,59.3,59.3,59.01,59.17
2026-01-09,59.2,59.28,59.07,59.245
2026-01-12,59.22,59.28,59.17,59.26
2026-01-13,59.28,59.36,59.26,59.341
2026-01-14,59.38,59.45,59.35,59.44
2026-01-15,59.43,59.47,59.35,59.46
2026-01-16,59.4,59.43,59.33,59.35
2026-01-19,59.34,59.45,59.29,59.44
2026-01-20,59.44,59.5,59.42,59.455
2026-01-21,59.39,59.4,59.235,59.261
2026-01-22,59.18,59.23,59.095,59.16
2026-01-23,59.03,59.1,58.97,59.09
2026-01-26,58.97,59.048,58.92,58.971
2026-01-27,59.05,59.1,59.035,59.085
2026-01-28,58.85,58.9,58.69,58.74
2026-01-29,58.78,58.95,58.75,58.945
2026-01-30,58.98,59.0,58.85,58.86
2026-02-02,58.9,58.915,58.86,58.899
2026-02-03,58.888,58.93,58.83,58.89
2026-02-04,58.95,58.97,58.94,58.97
2026-02-05,58.95,58.95,58.69,58.69
2026-02-06,58.75,58.75,58.545,58.585
2026-02-09,58.5,58.55,58.38,58.455
2026-02-10,58.4,58.53,58.38,58.53
2026-02-11,58.44,58.48,58.255,58.29
2026-02-12,58.18,58.26,58.09,58.115
2026-02-13,58.1,58.148,57.95,58.02
2026-02-16,57.95,58.02,57.91,57.986
2026-02-18,57.94,58.04,57.84,57.861
2026-02-19,57.88,58.0,57.88,57.996
2026-02-20,58.051,58.15,58.05,58.15
2026-02-23,57.95,57.999,57.53,57.575
2026-02-24,57.66,57.82,57.645,57.755
2026-02-25,57.8,57.8,57.43,57.51
2026-02-26,57.555,57.64,57.47,57.608
2026-02-27,57.7,57.75,57.54,57.665
2026-03-02,57.85,58.2,57.85,58.2
2026-03-03,58.22,58.478,58.17,58.435
2026-03-04,58.5,58.649,58.45,58.57
2026-03-05,58.4,58.63,58.335,58.63
2026-03-06,58.68,59.0,58.65,59.0
2026-03-09,59.25,59.71,59.25,59.5
2026-03-10,59.25,59.345,58.86,58.896
2026-03-11,58.888,59.17,58.77,59.17
2026-03-12,59.32,59.65,59.3,59.385
2026-03-13,59.55,59.75,59.41,59.735
